Iteration,MeanEpisodeLength,MeanReward
959,298.45,14.59
960,305.42,14.94
961,283.54,13.85
962,317.22,16.21
963,318.44,15.55
964,289.34,14.05
965,310.27,15.3
966,294.85,14.85
967,273.83,13.75
968,316.44,16.04
969,305.05,15.79
970,278.94,13.55
971,308.23,15.4
972,321.72,16.3
973,281.93,14.23
974,302.27,15.02
975,322.39,16.29
976,315.53,16
977,304.51,15.17
978,283.35,14.28
979,311.68,15.75
980,312.07,15.83
981,312.74,15.92
982,303.47,15.59
983,300.05,15.23
984,314.6,16.05
985,320.8,16.21
986,289,14.6
987,311.46,15.95
988,295.93,14.54
989,305.45,14.86
990,321.7,16.4
991,317.64,15.82
992,326.2,16.29
993,317.18,16.22
994,281.22,13.77
995,319.8,16.02
996,312.65,15.91
997,323.9,16.25
998,324.51,16.29
999,318.22,15.9
1000,296.65,14.86
1001,303.67,15.48
1002,325.61,15.87
1003,304.23,15.61
1004,301.68,15.15
1005,299.02,15.12
1006,309.24,15.02
1007,339.88,16.5
1008,311.31,15.91
1009,312.18,15.6
1010,318.37,16.1
1011,339.62,17.01
1012,307.85,14.7
1013,290.45,14.31
1014,337.85,17.18
1015,302.5,15.05
1016,310.91,16.21
1017,321.51,16.28
1018,316.74,15.49
1019,310.2,15.99
1020,303.51,15.19
1021,287.82,14.46
1022,285.15,13.91
1023,287.27,13.67
1024,303.42,14.87
1025,310.22,15.51
1026,316.5,15.76
1027,327.89,16.02
1028,343.04,17.26
1029,315.95,15.88
1030,340.87,17.69
1031,309.65,15.61
1032,308.92,14.86
1033,327.5,15.96
1034,328.54,16.45
1035,344.05,16.94
1036,320.12,16.26
1037,333.31,16.83
1038,323.63,16.06
1039,309.45,15.62
1040,343.12,17.66
1041,340.23,17.37
1042,330.95,16.32
1043,333.8,16.37
1044,325.1,16.87
1045,339.73,17.41
1046,318.45,16.3
1047,351.8,17.48
1048,352.65,17.86
1049,326.47,16.58
1050,338.02,16.99
1051,329.85,16.56
1052,320.68,16.04
1053,346.32,17.92
1054,307.21,15.22
1055,308.47,15.44
1056,336.54,17.05
1057,314.31,15.79
1058,352.61,17.4
1059,323.11,16.1
1060,323.53,16.4
1061,330.3,16.85
1062,330.71,16.79
1063,338.05,17.14
1064,320.26,16.37
1065,343.39,17.14
1066,289.68,14.47
1067,344.05,17.44
1068,326.14,16.68
1069,326.14,16.38
1070,311.09,15.64
1071,326.79,16.11
1072,320.58,16.32
1073,348.14,17.37
1074,320.97,16.06
1075,335.25,17.66
1076,350.51,18.04
1077,333.37,16.88
1078,324.89,16.48
1079,347.71,17.14
1080,344.35,17.14
1081,331.89,16.77
1082,333.73,16.67
1083,337.21,17.51
1084,328.97,16.69
1085,314.15,16.16
1086,335.12,16.52
1087,306.37,15.3
1088,346.08,18.15
1089,334.92,16.92
1090,351.38,18.36
1091,332.22,16.98
1092,333.39,16.89
1093,323.98,16.34
1094,366.84,18.97
1095,343.73,17.9
1096,333.12,16.82
1097,332.94,16.58
1098,338.46,17.51
1099,340.48,17.12
1100,321.85,16.09
1101,328.04,16.49
1102,348.1,17.36
1103,332.72,17.13
1104,350.68,18.19
1105,335.51,17.51
1106,348.92,17.52
1107,301.99,15.07
1108,350.08,18.39
1109,321.89,16.69
1110,338.22,17.54
1111,344.27,17.73
1112,319.17,16.7
1113,329.84,16.92
1114,362.05,18.62
1115,327.99,17
1116,339.66,17.72
1117,340.84,17.27
1118,309.22,16.41
1119,347.39,18.26
1120,353.98,18.83
1121,334.04,17.03
1122,340,17.89
1123,328.08,16.68
1124,305.16,16.4
1125,340.16,17.41
1126,354.62,18.3
1127,344.34,17.54
1128,337.33,17.76
1129,347.08,17.85
1130,315.99,16.55
1131,344.51,17.89
1132,332.92,16.79
1133,343.05,18.1
1134,351.48,18.43
1135,366.48,18.87
1136,352.06,19
1137,351.69,18.68
1138,329.61,17.32
1139,337.01,17.45
1140,332.02,17.54
1141,343.13,17.69
1142,369.55,19.52
1143,345.35,18.52
1144,339.3,18.05
1145,349.08,18.2
1146,332.43,16.92
1147,338.44,17.76
1148,335.82,17.19
1149,322.81,16.85
1150,352.81,18.34
1151,327.49,16.89
1152,350.78,18.25
1153,331.63,17.21
