Iteration,MeanEpisodeLength,MeanReward
806,348.29,11.59
807,353.01,12
808,333.11,11.38
809,348.74,11.47
810,358.47,12.69
811,307.83,10.12
812,353.75,12.07
813,338.64,11.62
814,331.15,10.76
815,350.79,11.99
816,301.81,9.74
817,326.67,11.19
818,329.54,10.87
819,336.53,11.19
820,318.39,10.66
821,322.25,10.76
822,326.22,10.6
823,345.42,11.56
824,299.58,9.67
825,350.75,11.58
826,306.53,10.43
827,363.93,12.39
828,344.7,10.96
829,338.77,11.68
830,346.73,11.77
831,332.24,11.1
832,332.75,11.23
833,344.74,11.81
834,348.83,11.88
835,360.5,12.16
836,339.81,11.37
837,326.87,11.1
838,333.03,11.67
839,348.38,11.5
840,354.1,12.12
841,343.24,11.86
842,331.69,10.82
843,316.43,10.51
844,309.39,10.88
845,352.92,11.68
846,357.9,12.01
847,333.14,10.93
848,353.32,12.39
849,344.16,11.16
850,356.75,11.7
851,325.68,10.82
852,367.33,12.69
853,317.13,10.8
854,362.43,11.96
855,321.72,10.56
856,348.01,11.09
857,369.02,12.25
858,356.32,11.73
859,323.16,10.85
860,355.55,11.77
861,326.47,10.55
862,328.95,10.71
863,334.54,11.08
864,360.42,11.97
865,370.6,12.4
866,371.1,12.61
867,348.99,11.68
868,361.48,12
869,308.07,10.28
870,320.68,10.78
871,321.44,10.25
872,371.66,12.08
873,349.91,11.82
874,364.68,11.62
875,351.22,11.5
876,336.38,11.45
877,347.4,11.2
878,329.56,10.72
879,350.61,11.44
880,342.3,11.41
881,356.7,11.96
882,339.74,11.41
883,327.04,11.08
884,319.15,10.48
885,338.26,10.77
886,331.13,10.84
887,333.01,11.03
888,349.65,11.45
889,307.28,10.12
890,340.05,11.26
891,339.24,11.17
892,328.92,10.65
893,336.12,10.63
894,367.47,12.1
895,362.87,12.07
896,337,11.26
897,337.68,10.88
898,333.55,11.02
899,349.14,11.37
900,319.64,10.44
901,355.48,10.96
902,344.96,10.95
903,375.61,12.04
904,342.02,10.82
905,356.83,11.44
906,371.95,12.02
907,356.12,11.96
908,347.45,11.62
909,364.59,11.87
910,328.45,10.59
911,344.59,11.1
912,348.89,11.64
913,346.47,11.28
914,361.16,12.02
915,363.74,12.15
916,340.81,11.25
917,357.39,11.81
918,349.89,11.81
919,337.13,11.27
920,356.76,11.53
921,343.77,11.27
