time	root_x	root_y	root_z
10.400000	4.924373	-1.244578	0.872763
10.420000	4.921292	-1.220644	0.866825
10.440000	4.916761	-1.194782	0.859328
10.460000	4.910790	-1.167662	0.850292
10.480000	4.905329	-1.142173	0.842571
10.500000	4.899800	-1.118410	0.837965
10.520000	4.892181	-1.095044	0.835154
10.540000	4.883510	-1.072342	0.834186
10.560000	4.876454	-1.051872	0.837239
10.580000	4.870022	-1.032504	0.842033
10.600000	4.864320	-1.013551	0.847145
10.620000	4.859605	-0.994407	0.851934
10.640000	4.855465	-0.974521	0.855701
10.660000	4.851928	-0.954453	0.857452
10.680000	4.849449	-0.936192	0.858880
10.700000	4.846799	-0.920762	0.861046
10.720000	4.842777	-0.908157	0.864026
10.740000	4.836979	-0.897556	0.867367
10.760000	4.829385	-0.887887	0.870575
10.780000	4.820372	-0.878415	0.873364
10.800000	4.810463	-0.868806	0.875581
10.820000	4.799950	-0.858784	0.877230
10.840000	4.788923	-0.848068	0.878270
10.860000	4.777448	-0.836499	0.878497
10.880000	4.765682	-0.824201	0.877654
10.900000	4.753930	-0.811424	0.875475
10.920000	4.742349	-0.798409	0.872004
10.940000	4.730862	-0.785273	0.867346
10.960000	4.719185	-0.772060	0.861702
10.980000	4.706945	-0.758979	0.855562
11.000000	4.693830	-0.746475	0.849562
11.020000	4.679527	-0.734821	0.844124
11.040000	4.663434	-0.723489	0.839517
11.060000	4.644870	-0.711560	0.835676
11.080000	4.624233	-0.699366	0.833020
11.100000	4.602527	-0.688526	0.833097
11.120000	4.579109	-0.678224	0.835182
11.140000	4.554615	-0.668335	0.838829
11.160000	4.529580	-0.658875	0.843549
11.180000	4.504528	-0.650192	0.848606
11.200000	4.479635	-0.642213	0.853488
11.220000	4.456089	-0.635461	0.856410
11.240000	4.435570	-0.631159	0.857385
11.260000	4.417868	-0.628498	0.858048
11.280000	4.401194	-0.625824	0.859543
11.300000	4.384200	-0.622310	0.862196
11.320000	4.366877	-0.617825	0.865645
11.340000	4.349990	-0.612535	0.869337
11.360000	4.334026	-0.606535	0.872967
11.380000	4.318815	-0.599852	0.876333
11.400000	4.304127	-0.592556	0.879291
11.420000	4.289745	-0.584854	0.881846
11.440000	4.275538	-0.577075	0.883850
11.460000	4.261055	-0.569596	0.885106
11.480000	4.245654	-0.562694	0.885492
11.500000	4.229172	-0.556552	0.884803
11.520000	4.211978	-0.551159	0.882986
11.540000	4.194354	-0.546328	0.880327
11.560000	4.176073	-0.541906	0.877221
11.580000	4.156361	-0.537730	0.873887
11.600000	4.134552	-0.533680	0.870145
11.620000	4.110327	-0.529711	0.865719
11.640000	4.083790	-0.525942	0.860401
11.660000	4.055633	-0.522798	0.853812
11.680000	4.026818	-0.520638	0.846540
11.700000	3.998989	-0.518910	0.840265
11.720000	3.973568	-0.516747	0.837633
11.740000	3.948111	-0.515637	0.837902
11.760000	3.922374	-0.515596	0.840478
11.780000	3.896498	-0.515488	0.844541
