time	left_hand_x	left_hand_y	left_hand_z	right_hand_x	right_hand_y	right_hand_z
3.720000	0.132418	0.178638	0.888448	0.127937	-0.322996	0.897833
3.740000	0.131999	0.177607	0.899921	0.127291	-0.323889	0.908533
3.760000	0.131697	0.176539	0.911277	0.126536	-0.324756	0.919083
3.780000	0.131422	0.175405	0.922454	0.125652	-0.325565	0.929493
3.800000	0.131059	0.174175	0.933489	0.124682	-0.326269	0.939701
3.820000	0.130559	0.172848	0.944409	0.123719	-0.326856	0.949614
3.840000	0.129900	0.171464	0.955150	0.122789	-0.327332	0.959193
3.860000	0.129064	0.170080	0.965568	0.121796	-0.327713	0.968389
3.880000	0.128042	0.168707	0.975634	0.120645	-0.327997	0.977206
3.900000	0.126838	0.167325	0.985433	0.119324	-0.328169	0.985744
3.920000	0.125494	0.165903	0.995071	0.117862	-0.328220	0.994163
3.940000	0.124082	0.164417	1.004658	0.116267	-0.328158	1.002644
3.960000	0.122647	0.162879	1.014198	0.114554	-0.328039	1.011267
3.980000	0.121194	0.161336	1.023616	0.112719	-0.327918	1.019952
4.000000	0.119694	0.159822	1.032837	0.110737	-0.327820	1.028545
4.020000	0.118160	0.158365	1.041827	0.108553	-0.327747	1.036932
4.040000	0.116607	0.156975	1.050460	0.106155	-0.327748	1.045041
4.060000	0.115012	0.155662	1.058494	0.103571	-0.327881	1.052701
4.080000	0.113338	0.154402	1.065845	0.100822	-0.328121	1.059791
4.100000	0.111603	0.153176	1.072526	0.097937	-0.328423	1.066275
4.120000	0.109847	0.151966	1.078522	0.094930	-0.328762	1.072208
4.140000	0.108055	0.150754	1.083901	0.091738	-0.329087	1.077718
4.160000	0.106153	0.149564	1.088803	0.088290	-0.329369	1.082829
4.180000	0.104121	0.148484	1.093239	0.084585	-0.329623	1.087413
4.200000	0.101948	0.147552	1.097209	0.080673	-0.329855	1.091507
4.220000	0.099584	0.146755	1.100840	0.076564	-0.330053	1.095275
4.240000	0.096979	0.146076	1.104267	0.072279	-0.330224	1.098770
4.260000	0.094090	0.145504	1.107616	0.067862	-0.330354	1.101979
4.280000	0.090898	0.145045	1.110940	0.063355	-0.330426	1.104891
4.300000	0.087439	0.144718	1.114201	0.058804	-0.330434	1.107491
4.320000	0.083791	0.144558	1.117309	0.054275	-0.330378	1.109787
4.340000	0.080033	0.144584	1.120248	0.049803	-0.330256	1.111863
4.360000	0.076234	0.144801	1.123089	0.045350	-0.330057	1.113840
4.380000	0.072468	0.145245	1.125765	0.040873	-0.329788	1.115682
4.400000	0.068750	0.145916	1.128175	0.036402	-0.329444	1.117301
4.420000	0.065041	0.146748	1.130305	0.032019	-0.328972	1.118755
4.440000	0.061330	0.147681	1.132097	0.027773	-0.328317	1.120036
4.460000	0.057621	0.148710	1.133554	0.023600	-0.327461	1.121098
4.480000	0.053899	0.149869	1.134747	0.019397	-0.326472	1.121979
4.500000	0.050173	0.151178	1.135766	0.015113	-0.325437	1.122760
4.520000	0.046469	0.152620	1.136669	0.010764	-0.324421	1.123496
4.540000	0.042780	0.154140	1.137410	0.006411	-0.323473	1.124246
4.560000	0.039092	0.155635	1.138000	0.002082	-0.322598	1.125176
4.580000	0.035458	0.157014	1.138490	-0.002208	-0.321779	1.126354
4.600000	0.032008	0.158234	1.138845	-0.006360	-0.321001	1.127620
4.620000	0.028867	0.159299	1.139006	-0.010244	-0.320252	1.128849
4.640000	0.026059	0.160247	1.138925	-0.013821	-0.319561	1.130032
4.660000	0.023505	0.161117	1.138634	-0.017215	-0.318938	1.131195
4.680000	0.021128	0.161934	1.138275	-0.020571	-0.318345	1.132351
4.700000	0.018919	0.162694	1.137915	-0.023853	-0.317774	1.133480
4.720000	0.016889	0.163375	1.137478	-0.026905	-0.317242	1.134564
4.740000	0.015022	0.163979	1.136912	-0.029676	-0.316728	1.135556
4.760000	0.013263	0.164532	1.136348	-0.032279	-0.316179	1.136406
4.780000	0.011554	0.165068	1.135970	-0.034811	-0.315585	1.137152
4.800000	0.009889	0.165615	1.135789	-0.037261	-0.314981	1.137863
4.820000	0.008325	0.166188	1.135649	-0.039586	-0.314405	1.138509
4.840000	0.006900	0.166774	1.135428	-0.041788	-0.313864	1.139029
4.860000	0.005556	0.167324	1.135169	-0.043934	-0.313337	1.139498
4.880000	0.004215	0.167822	1.134972	-0.046084	-0.312793	1.139990
4.900000	0.002872	0.168298	1.134861	-0.048218	-0.312230	1.140465
4.920000	0.001523	0.168794	1.134789	-0.050332	-0.311683	1.140902
4.940000	0.000144	0.169332	1.134727	-0.052494	-0.311176	1.141337
4.960000	-0.001254	0.169870	1.134692	-0.054721	-0.310706	1.141793
4.980000	-0.002671	0.170353	1.134668	-0.056920	-0.310283	1.142295
5.000000	-0.004134	0.170749	1.134593	-0.059011	-0.309930	1.142863
